year,tech,type,HS,diff_ratio,average_ratio
1994-2000,6,1,381800010,1,1
2001-2007,6,1,381800010,1,1
2008-2014,6,1,381800010,1,1
1994-2000,6,1,381800020,1,1
2001-2007,6,1,381800020,1,1
2008-2014,6,1,381800020,1,1
1994-2000,6,1,381800100,-1,-1
2001-2007,6,1,381800100,-1,-1
2008-2014,6,1,381800100,-1,-1
1994-2000,6,1,381800900,-1,-1
2001-2007,6,1,381800900,-1,-1
2008-2014,6,1,381800900,-1,-1
1994-2000,6,2,401110000,-1,-1
2001-2007,6,2,401110000,-1,-1
2008-2014,6,2,401110000,-1,-1
1994-2000,6,2,401110010,1,1
2001-2007,6,2,401110010,1,1
2008-2014,6,2,401110010,1,1
1994-2000,6,2,401110090,1,1
2001-2007,6,2,401110090,1,1
2008-2014,6,2,401110090,1,1
1994-2000,6,2,401120000,-0.313882398,-0.212907419
2001-2007,6,2,401120000,0.065367297,-0.10841969
2008-2014,6,2,401120000,0.157736763,-0.020258526
1994-2000,6,1,820231000,0.204667338,-0.387042241
2001-2007,6,1,820231000,0.751994651,-0.647280458
2008-2014,6,1,820231000,0.735431197,-0.588484078
1994-2000,6,1,820239000,0.681312692,0.303800066
2001-2007,6,1,820239000,0.80178441,-0.155009735
2008-2014,6,1,820239000,0.5720381,-0.092477639
1994-2000,6,1,820720000,1,1
2001-2007,6,1,820720000,1,1
2008-2014,6,1,820720000,1,1
1994-2000,6,1,820720100,-1,-1
1994-2000,6,1,820720200,-1,-1
2001-2007,6,1,820720200,-1,-1
2008-2014,6,1,820720200,-1,-1
1994-2000,6,1,820720900,-1,-1
2001-2007,6,1,820720900,-1,-1
2008-2014,6,1,820720900,-1,-1
1994-2000,4,4,820750010,1,1
2001-2007,4,4,820750010,1,1
2008-2014,4,4,820750010,1,1
1994-2000,4,4,820750090,1,1
2001-2007,4,4,820750090,1,1
2008-2014,4,4,820750090,1,1
1994-2000,4,4,820750100,-1,-1
2001-2007,4,4,820750100,-1,-1
2008-2014,4,4,820750100,-1,-1
1994-2000,4,4,820750200,-1,-1
2001-2007,4,4,820750200,-1,-1
2008-2014,4,4,820750200,-1,-1
1994-2000,4,4,820750900,-1,-1
2001-2007,4,4,820750900,-1,-1
2008-2014,4,4,820750900,-1,-1
1994-2000,4,3,830140000,0.553559482,-0.638058675
2001-2007,4,3,830140000,0.831079739,-0.473656761
2008-2014,4,3,830140000,0.746323617,-0.554193167
1994-2000,4,4,830300000,-0.409646542,-0.179973888
2001-2007,4,4,830300000,0.54811379,-0.139858767
2008-2014,4,4,830300000,0.252525958,-0.420372499
1994-2000,6,1,830710000,0.576301706,-0.498224393
2001-2007,6,1,830710000,0.701689542,-0.35271271
2008-2014,6,1,830710000,0.486709523,-0.327225918
1994-2000,6,1,830790000,-0.655968504,-0.539382004
2001-2007,6,1,830790000,-0.139998476,-0.546700807
2008-2014,6,1,830790000,0.403429878,-0.687370213
1994-2000,7,3,840732000,1,1
2001-2007,7,3,840732000,1,1
2008-2014,7,3,840732000,1,1
1994-2000,7,3,840732100,-1,-1
2001-2007,7,3,840732100,-1,-1
2008-2014,7,3,840732100,-1,-1
1994-2000,7,3,840732900,-1,-1
2001-2007,7,3,840732900,-1,-1
2008-2014,7,3,840732900,-1,-1
1994-2000,7,2,840991010,1,1
2001-2007,7,2,840991010,1,1
2008-2014,7,2,840991010,1,1
1994-2000,7,2,840991090,1,1
2001-2007,7,2,840991090,1,1
2008-2014,7,2,840991090,1,1
1994-2000,7,2,840991100,-1,-1
2001-2007,7,2,840991100,-1,-1
2008-2014,7,2,840991100,-1,-1
1994-2000,7,2,840991200,-1,-1
2001-2007,7,2,840991200,-1,-1
2008-2014,7,2,840991200,-1,-1
1994-2000,7,2,840991900,-1,-1
2001-2007,7,2,840991900,-1,-1
2008-2014,7,2,840991900,-1,-1
1994-2000,4,1,840999010,1,1
2001-2007,4,1,840999010,1,1
2008-2014,4,1,840999010,1,1
1994-2000,4,1,840999090,1,1
2001-2007,4,1,840999090,1,1
2008-2014,4,1,840999090,1,1
1994-2000,4,1,840999100,-1,-1
2001-2007,4,1,840999100,-1,-1
2008-2014,4,1,840999100,-1,-1
1994-2000,4,1,840999200,-1,-1
2001-2007,4,1,840999200,-1,-1
2008-2014,4,1,840999200,-1,-1
1994-2000,4,1,840999900,-1,-1
2001-2007,4,1,840999900,-1,-1
2008-2014,4,1,840999900,-1,-1
1994-2000,7,3,841012000,-1,-1
2001-2007,7,3,841012000,-1,-1
2008-2014,7,3,841012000,-1,-1
1994-2000,7,3,841013000,-1,-1
2001-2007,7,3,841013000,0.5,0.5
2008-2014,7,3,841013000,1,1
1994-2000,7,4,841090000,-0.514667141,-0.378399336
2001-2007,7,4,841090000,0.004095934,-0.44698675
2008-2014,7,4,841090000,0.558213382,-0.45354849
2001-2007,3,3,841111000,-1,-1
2008-2014,3,3,841111000,-1,-1
1994-2000,3,3,841112000,1,1
2001-2007,3,3,841112000,-1,-1
2001-2007,3,3,841121000,-1,-1
2008-2014,3,3,841122000,-1,-1
1994-2000,3,3,841181000,-1,-1
2001-2007,3,3,841181000,-1,-1
2008-2014,3,3,841181000,-1,-1
2001-2007,3,3,841181090,1,1
1994-2000,3,3,841182000,-1,-1
2001-2007,3,3,841182000,-0.666666667,-0.666666667
2008-2014,3,3,841182000,-0.979362692,-0.88370691
1994-2000,3,1,841191000,0.371999163,0.018187676
2001-2007,3,1,841191000,0.189228251,-0.312827337
2008-2014,3,1,841191000,-0.12079896,-0.843478454
1994-2000,3,1,841199000,-1,-1
2001-2007,3,1,841199000,-1,-1
2008-2014,3,1,841199000,-1,-1
1994-2000,3,1,841199010,1,1
2001-2007,3,1,841199010,1,1
2008-2014,3,1,841199010,1,1
1994-2000,3,1,841199090,1,1
2001-2007,3,1,841199090,1,1
2008-2014,3,1,841199090,1,1
1994-2000,3,3,841210000,-1,-1
2001-2007,3,3,841210000,-1,-1
2008-2014,3,3,841210000,-1,-1
1994-2000,3,3,841229000,-0.971217137,-0.398610147
2001-2007,3,3,841229000,-0.941919612,0.418214661
2008-2014,3,3,841229000,-0.920715687,0.469770536
1994-2000,4,4,841311000,-0.995074263,-0.831616184
2001-2007,4,4,841311000,-0.965657043,-0.631397133
2008-2014,4,4,841311000,-0.14582246,-0.491864591
1994-2000,3,3,841330000,-1,-1
2001-2007,3,3,841330000,-1,-1
2008-2014,3,3,841330000,-1,-1
1994-2000,3,3,841330010,1,1
2001-2007,3,3,841330010,1,1
2008-2014,3,3,841330010,1,1
1994-2000,3,3,841330020,1,1
2001-2007,3,3,841330020,1,1
2008-2014,3,3,841330020,1,1
1994-2000,4,3,841350010,1,1
2001-2007,4,3,841350010,1,1
2008-2014,4,3,841350010,1,1
1994-2000,4,3,841350090,1,1
2001-2007,4,3,841350090,1,1
2008-2014,4,3,841350090,1,1
1994-2000,4,3,841350100,-1,-1
2001-2007,4,3,841350100,-1,-1
2008-2014,4,3,841350100,-1,-1
1994-2000,4,3,841350900,-1,-1
2001-2007,4,3,841350900,-1,-1
2008-2014,4,3,841350900,-1,-1
2001-2007,4,3,841360011,1,1
2008-2014,4,3,841360011,1,1
1994-2000,4,3,841360019,1,1
2001-2007,4,3,841360019,1,1
2008-2014,4,3,841360019,1,1
1994-2000,4,3,841360091,1,1
2001-2007,4,3,841360091,1,1
2008-2014,4,3,841360091,1,1
1994-2000,4,3,841360099,1,1
2001-2007,4,3,841360099,1,1
2008-2014,4,3,841360099,1,1
1994-2000,4,3,841360100,-1,-1
2001-2007,4,3,841360100,-1,-1
2008-2014,4,3,841360100,-1,-1
1994-2000,4,3,841360200,-1,-1
1994-2000,4,3,841360300,-1,-1
1994-2000,4,3,841360900,-1,-1
2001-2007,4,3,841360900,-1,-1
2008-2014,4,3,841360900,-1,-1
1994-2000,4,3,841370010,1,1
