"","year","tech","type","HS","HS6","HS2","export_unit","export_num","export_value","export_average","import_unit","import_num","import_value","import_average","diff_value","average_value","diff_ratio","average_ratio"
"1",2008,6,1,381800010,381800,38,2,97652,8170833,83.67297137,1,NA,NA,NA,8170833,83.67297137,1,1
"2",2009,6,1,381800010,381800,38,2,86132,5549809,64.43376445,1,NA,NA,NA,5549809,64.43376445,1,1
"3",2010,6,1,381800010,381800,38,2,276541,11640773,42.09420303,1,NA,NA,NA,11640773,42.09420303,1,1
"4",2011,6,1,381800010,381800,38,2,385000,13750217,35.71484935,1,NA,NA,NA,13750217,35.71484935,1,1
"5",2012,6,1,381800010,381800,38,2,489867,11505062,23.48609316,1,NA,NA,NA,11505062,23.48609316,1,1
"6",2013,6,1,381800010,381800,38,2,652177,14926374,22.88699847,1,NA,NA,NA,14926374,22.88699847,1,1
"7",2014,6,1,381800010,381800,38,2,710914,17404054,24.48123683,1,NA,NA,NA,17404054,24.48123683,1,1
"8",2008,6,1,381800020,381800,38,2,5657,968711,171.2411172,1,NA,NA,NA,968711,171.2411172,1,1
"9",2009,6,1,381800020,381800,38,2,6130,721212,117.6528548,1,NA,NA,NA,721212,117.6528548,1,1
"10",2010,6,1,381800020,381800,38,2,7158,969755,135.4784856,1,NA,NA,NA,969755,135.4784856,1,1
"11",2011,6,1,381800020,381800,38,2,7073,831277,117.5282059,1,NA,NA,NA,831277,117.5282059,1,1
"12",2012,6,1,381800020,381800,38,2,6828,1157086,169.4619215,1,NA,NA,NA,1157086,169.4619215,1,1
"13",2013,6,1,381800020,381800,38,2,12229,1716289,140.3458173,1,NA,NA,NA,1716289,140.3458173,1,1
"14",2014,6,1,381800020,381800,38,2,24309,2610669,107.3951623,1,NA,NA,NA,2610669,107.3951623,1,1
"15",2008,6,1,381800100,381800,38,1,NA,NA,NA,3,742478,33037541,44.49632312,-33037541,-44.49632312,-1,-1
"16",2009,6,1,381800100,381800,38,1,NA,NA,NA,3,525373,19861397,37.80437327,-19861397,-37.80437327,-1,-1
"17",2010,6,1,381800100,381800,38,1,NA,NA,NA,3,990017,34452948,34.80035999,-34452948,-34.80035999,-1,-1
"18",2011,6,1,381800100,381800,38,1,NA,NA,NA,3,747361,24216122,32.40217512,-24216122,-32.40217512,-1,-1
"19",2012,6,1,381800100,381800,38,1,NA,NA,NA,3,415466,13912125,33.48559208,-13912125,-33.48559208,-1,-1
"20",2013,6,1,381800100,381800,38,1,NA,NA,NA,3,337278,15466108,45.85566802,-15466108,-45.85566802,-1,-1
"21",2014,6,1,381800100,381800,38,1,NA,NA,NA,3,406675,20859286,51.29227516,-20859286,-51.29227516,-1,-1
"22",2008,6,1,381800900,381800,38,1,NA,NA,NA,3,12627,5074015,401.8385206,-5074015,-401.8385206,-1,-1
"23",2009,6,1,381800900,381800,38,1,NA,NA,NA,3,6097,2893711,474.6122683,-2893711,-474.6122683,-1,-1
"24",2010,6,1,381800900,381800,38,1,NA,NA,NA,3,6388,3411550,534.0560426,-3411550,-534.0560426,-1,-1
"25",2011,6,1,381800900,381800,38,1,NA,NA,NA,3,2965,1861608,627.8610455,-1861608,-627.8610455,-1,-1
"26",2012,6,1,381800900,381800,38,1,NA,NA,NA,3,14028,2216999,158.0409894,-2216999,-158.0409894,-1,-1
"27",2013,6,1,381800900,381800,38,1,NA,NA,NA,3,29816,2742603,91.98427019,-2742603,-91.98427019,-1,-1
"28",2014,6,1,381800900,381800,38,1,NA,NA,NA,3,20498,2055128,100.2599278,-2055128,-100.2599278,-1,-1
"29",2008,6,2,401110000,401110,40,1,NA,NA,NA,3,9834110,5144235,0.523101226,-5144235,-0.523101226,-1,-1
"30",2009,6,2,401110000,401110,40,1,NA,NA,NA,3,7862961,3937088,0.500713154,-3937088,-0.500713154,-1,-1
