year,tech,type,HS,HS6,HS2,export_unit,export_num,export_value,export_average,import_unit,import_num,import_value,import_average,diff_value,average_value,diff_ratio,average_ratio
2008,6,1,381800010,381800,38,KG,97652,8170833,83.67297137,,,,,8170833,83.67297137,1,1
2009,6,1,381800010,381800,38,KG,86132,5549809,64.43376445,,,,,5549809,64.43376445,1,1
2010,6,1,381800010,381800,38,KG,276541,11640773,42.09420303,,,,,11640773,42.09420303,1,1
2011,6,1,381800010,381800,38,KG,385000,13750217,35.71484935,,,,,13750217,35.71484935,1,1
2012,6,1,381800010,381800,38,KG,489867,11505062,23.48609316,,,,,11505062,23.48609316,1,1
2013,6,1,381800010,381800,38,KG,652177,14926374,22.88699847,,,,,14926374,22.88699847,1,1
2014,6,1,381800010,381800,38,KG,710914,17404054,24.48123683,,,,,17404054,24.48123683,1,1
2008,6,1,381800020,381800,38,KG,5657,968711,171.2411172,,,,,968711,171.2411172,1,1
2009,6,1,381800020,381800,38,KG,6130,721212,117.6528548,,,,,721212,117.6528548,1,1
2010,6,1,381800020,381800,38,KG,7158,969755,135.4784856,,,,,969755,135.4784856,1,1
2011,6,1,381800020,381800,38,KG,7073,831277,117.5282059,,,,,831277,117.5282059,1,1
2012,6,1,381800020,381800,38,KG,6828,1157086,169.4619215,,,,,1157086,169.4619215,1,1
2013,6,1,381800020,381800,38,KG,12229,1716289,140.3458173,,,,,1716289,140.3458173,1,1
2014,6,1,381800020,381800,38,KG,24309,2610669,107.3951623,,,,,2610669,107.3951623,1,1
2008,6,1,381800100,381800,38,,,,,KG,742478,33037541,44.49632312,-33037541,-44.49632312,-1,-1
2009,6,1,381800100,381800,38,,,,,KG,525373,19861397,37.80437327,-19861397,-37.80437327,-1,-1
2010,6,1,381800100,381800,38,,,,,KG,990017,34452948,34.80035999,-34452948,-34.80035999,-1,-1
2011,6,1,381800100,381800,38,,,,,KG,747361,24216122,32.40217512,-24216122,-32.40217512,-1,-1
2012,6,1,381800100,381800,38,,,,,KG,415466,13912125,33.48559208,-13912125,-33.48559208,-1,-1
2013,6,1,381800100,381800,38,,,,,KG,337278,15466108,45.85566802,-15466108,-45.85566802,-1,-1
2014,6,1,381800100,381800,38,,,,,KG,406675,20859286,51.29227516,-20859286,-51.29227516,-1,-1
2008,6,1,381800900,381800,38,,,,,KG,12627,5074015,401.8385206,-5074015,-401.8385206,-1,-1
2009,6,1,381800900,381800,38,,,,,KG,6097,2893711,474.6122683,-2893711,-474.6122683,-1,-1
2010,6,1,381800900,381800,38,,,,,KG,6388,3411550,534.0560426,-3411550,-534.0560426,-1,-1
2011,6,1,381800900,381800,38,,,,,KG,2965,1861608,627.8610455,-1861608,-627.8610455,-1,-1
2012,6,1,381800900,381800,38,,,,,KG,14028,2216999,158.0409894,-2216999,-158.0409894,-1,-1
2013,6,1,381800900,381800,38,,,,,KG,29816,2742603,91.98427019,-2742603,-91.98427019,-1,-1
2014,6,1,381800900,381800,38,,,,,KG,20498,2055128,100.2599278,-2055128,-100.2599278,-1,-1
2008,6,2,401110000,401110,40,,,,,KG,9834110,5144235,0.523101226,-5144235,-0.523101226,-1,-1
2009,6,2,401110000,401110,40,,,,,KG,7862961,3937088,0.500713154,-3937088,-0.500713154,-1,-1
2010,6,2,401110000,401110,40,,,,,KG,13156897,6325133,0.480746562,-6325133,-0.480746562,-1,-1
