year,tech,type,HS,HS6,HS2,export_unit,export_num,export_value,export_average,import_unit,import_num,import_value,import_average,diff_value,diff_ratio,average_value,average_ratio
1995,6,1,381800010,381800,38,KG,253,13096,51.76284585,,,,,13096,1,51.76284585,1
1996,6,1,381800010,381800,38,KG,2056,177011,86.09484436,,,,,177011,1,86.09484436,1
1997,6,1,381800010,381800,38,KG,3856,480012,124.4844398,,,,,480012,1,124.4844398,1
1998,6,1,381800010,381800,38,KG,4683,1797353,383.8037583,,,,,1797353,1,383.8037583,1
1999,6,1,381800010,381800,38,KG,6063,1708844,281.8479301,,,,,1708844,1,281.8479301,1
2000,6,1,381800010,381800,38,KG,10587,647786,61.18692736,,,,,647786,1,61.18692736,1
2001,6,1,381800010,381800,38,KG,5400,232520,43.05925926,,,,,232520,1,43.05925926,1
2002,6,1,381800010,381800,38,KG,10654,480796,45.12821476,,,,,480796,1,45.12821476,1
2003,6,1,381800010,381800,38,KG,40175,1647929,41.01876789,,,,,1647929,1,41.01876789,1
2004,6,1,381800010,381800,38,KG,77659,3805435,49.00185426,,,,,3805435,1,49.00185426,1
2005,6,1,381800010,381800,38,KG,131829,6832178,51.82606255,,,,,6832178,1,51.82606255,1
2006,6,1,381800010,381800,38,KG,103800,8842975,85.19243738,,,,,8842975,1,85.19243738,1
2007,6,1,381800010,381800,38,KG,145932,14728697,100.9284941,,,,,14728697,1,100.9284941,1
2008,6,1,381800010,381800,38,KG,97652,8170833,83.67297137,,,,,8170833,1,83.67297137,1
2009,6,1,381800010,381800,38,KG,86132,5549809,64.43376445,,,,,5549809,1,64.43376445,1
2010,6,1,381800010,381800,38,KG,276541,11640773,42.09420303,,,,,11640773,1,42.09420303,1
2011,6,1,381800010,381800,38,KG,385000,13750217,35.71484935,,,,,13750217,1,35.71484935,1
2012,6,1,381800010,381800,38,KG,489867,11505062,23.48609316,,,,,11505062,1,23.48609316,1
2013,6,1,381800010,381800,38,KG,652177,14926374,22.88699847,,,,,14926374,1,22.88699847,1
2014,6,1,381800010,381800,38,KG,710914,17404054,24.48123683,,,,,17404054,1,24.48123683,1
1997,6,1,381800020,381800,38,KG,0,215,,,,,,215,1,,
1998,6,1,381800020,381800,38,KG,15503,58580,3.778623492,,,,,58580,1,3.778623492,1
1999,6,1,381800020,381800,38,KG,38500,79101,2.054571429,,,,,79101,1,2.054571429,1
2000,6,1,381800020,381800,38,KG,43220,99783,2.308722814,,,,,99783,1,2.308722814,1
2001,6,1,381800020,381800,38,KG,25,581,23.24,,,,,581,1,23.24,1
2002,6,1,381800020,381800,38,KG,32,3540,110.625,,,,,3540,1,110.625,1
2003,6,1,381800020,381800,38,KG,36,5987,166.3055556,,,,,5987,1,166.3055556,1
2004,6,1,381800020,381800,38,KG,722,179746,248.9556787,,,,,179746,1,248.9556787,1
2005,6,1,381800020,381800,38,KG,1178,266279,226.0432937,,,,,266279,1,226.0432937,1
2006,6,1,381800020,381800,38,KG,2459,442418,179.9178528,,,,,442418,1,179.9178528,1
2007,6,1,381800020,381800,38,KG,4634,692433,149.4244713,,,,,692433,1,149.4244713,1
2008,6,1,381800020,381800,38,KG,5657,968711,171.2411172,,,,,968711,1,171.2411172,1
2009,6,1,381800020,381800,38,KG,6130,721212,117.6528548,,,,,721212,1,117.6528548,1
2010,6,1,381800020,381800,38,KG,7158,969755,135.4784856,,,,,969755,1,135.4784856,1
2011,6,1,381800020,381800,38,KG,7073,831277,117.5282059,,,,,831277,1,117.5282059,1
2012,6,1,381800020,381800,38,KG,6828,1157086,169.4619215,,,,,1157086,1,169.4619215,1
2013,6,1,381800020,381800,38,KG,12229,1716289,140.3458173,,,,,1716289,1,140.3458173,1
2014,6,1,381800020,381800,38,KG,24309,2610669,107.3951623,,,,,2610669,1,107.3951623,1
1994,6,1,381800100,381800,38,,,,,KG,2458,81971,33.34865745,-81971,-1,-33.34865745,-1
1995,6,1,381800100,381800,38,,,,,KG,5401,221936,41.09164969,-221936,-1,-41.09164969,-1
1996,6,1,381800100,381800,38,,,,,KG,8963,303359,33.84569898,-303359,-1,-33.84569898,-1
1997,6,1,381800100,381800,38,,,,,KG,10384,425739,40.99951849,-425739,-1,-40.99951849,-1
1998,6,1,381800100,381800,38,,,,,KG,10032,625510,62.35147528,-625510,-1,-62.35147528,-1
1999,6,1,381800100,381800,38,,,,,KG,16588,1481618,89.31866409,-1481618,-1,-89.31866409,-1
2000,6,1,381800100,381800,38,,,,,KG,43433,2902525,66.82764258,-2902525,-1,-66.82764258,-1
2001,6,1,381800100,381800,38,,,,,KG,29066,2293041,78.89083465,-2293041,-1,-78.89083465,-1
2002,6,1,381800100,381800,38,,,,,KG,36830,3241447,88.01105077,-3241447,-1,-88.01105077,-1
2003,6,1,381800100,381800,38,,,,,KG,47869,4124843,86.16939982,-4124843,-1,-86.16939982,-1
2004,6,1,381800100,381800,38,,,,,KG,85944,7082907,82.41304803,-7082907,-1,-82.41304803,-1
2005,6,1,381800100,381800,38,,,,,KG,104187,8636890,82.89796232,-8636890,-1,-82.89796232,-1
2006,6,1,381800100,381800,38,,,,,KG,349037,21197408,60.7311202,-21197408,-1,-60.7311202,-1
2007,6,1,381800100,381800,38,,,,,KG,612352,37295355,60.90509217,-37295355,-1,-60.90509217,-1
2008,6,1,381800100,381800,38,,,,,KG,742478,33037541,44.49632312,-33037541,-1,-44.49632312,-1
2009,6,1,381800100,381800,38,,,,,KG,525373,19861397,37.80437327,-19861397,-1,-37.80437327,-1
2010,6,1,381800100,381800,38,,,,,KG,990017,34452948,34.80035999,-34452948,-1,-34.80035999,-1
2011,6,1,381800100,381800,38,,,,,KG,747361,24216122,32.40217512,-24216122,-1,-32.40217512,-1
2012,6,1,381800100,381800,38,,,,,KG,415466,13912125,33.48559208,-13912125,-1,-33.48559208,-1
2013,6,1,381800100,381800,38,,,,,KG,337278,15466108,45.85566802,-15466108,-1,-45.85566802,-1
2014,6,1,381800100,381800,38,,,,,KG,406675,20859286,51.29227516,-20859286,-1,-51.29227516,-1
1994,6,1,381800900,381800,38,,,,,KG,44,71327,1621.068182,-71327,-1,-1621.068182,-1
1995,6,1,381800900,381800,38,,,,,KG,169,129197,764.4792899,-129197,-1,-764.4792899,-1
1996,6,1,381800900,381800,38,,,,,KG,83,94560,1139.277108,-94560,-1,-1139.277108,-1
1997,6,1,381800900,381800,38,,,,,KG,119,193329,1624.613445,-193329,-1,-1624.613445,-1
1998,6,1,381800900,381800,38,,,,,KG,246,199920,812.6829268,-199920,-1,-812.6829268,-1
1999,6,1,381800900,381800,38,,,,,KG,61,184982,3032.491803,-184982,-1,-3032.491803,-1
2000,6,1,381800900,381800,38,,,,,KG,84,246851,2938.702381,-246851,-1,-2938.702381,-1
2001,6,1,381800900,381800,38,,,,,KG,619,284474,459.5702746,-284474,-1,-459.5702746,-1
2002,6,1,381800900,381800,38,,,,,KG,255,329401,1291.768627,-329401,-1,-1291.768627,-1
2003,6,1,381800900,381800,38,,,,,KG,356,327133,918.9129213,-327133,-1,-918.9129213,-1
2004,6,1,381800900,381800,38,,,,,KG,417,345359,828.1990408,-345359,-1,-828.1990408,-1
2005,6,1,381800900,381800,38,,,,,KG,1265,417485,330.027668,-417485,-1,-330.027668,-1
2006,6,1,381800900,381800,38,,,,,KG,8764,1056775,120.5813555,-1056775,-1,-120.5813555,-1
2007,6,1,381800900,381800,38,,,,,KG,13895,3524961,253.6855703,-3524961,-1,-253.6855703,-1
2008,6,1,381800900,381800,38,,,,,KG,12627,5074015,401.8385206,-5074015,-1,-401.8385206,-1
2009,6,1,381800900,381800,38,,,,,KG,6097,2893711,474.6122683,-2893711,-1,-474.6122683,-1
2010,6,1,381800900,381800,38,,,,,KG,6388,3411550,534.0560426,-3411550,-1,-534.0560426,-1
2011,6,1,381800900,381800,38,,,,,KG,2965,1861608,627.8610455,-1861608,-1,-627.8610455,-1
2012,6,1,381800900,381800,38,,,,,KG,14028,2216999,158.0409894,-2216999,-1,-158.0409894,-1
2013,6,1,381800900,381800,38,,,,,KG,29816,2742603,91.98427019,-2742603,-1,-91.98427019,-1
2014,6,1,381800900,381800,38,,,,,KG,20498,2055128,100.2599278,-2055128,-1,-100.2599278,-1
1994,6,2,401110000,401110,40,,,,,KG,173527,64068,0.369210555,-64068,-1,-0.369210555,-1
1995,6,2,401110000,401110,40,,,,,KG,234438,71164,0.303551472,-71164,-1,-0.303551472,-1
1996,6,2,401110000,401110,40,,,,,KG,33874,15861,0.468235225,-15861,-1,-0.468235225,-1
1997,6,2,401110000,401110,40,,,,,KG,224000,132200,0.590178571,-132200,-1,-0.590178571,-1
1998,6,2,401110000,401110,40,,,,,KG,264968,150359,0.567460976,-150359,-1,-0.567460976,-1
1999,6,2,401110000,401110,40,,,,,KG,129427,73564,0.568382177,-73564,-1,-0.568382177,-1
2000,6,2,401110000,401110,40,,,,,KG,78734,48596,0.617217466,-48596,-1,-0.617217466,-1
2001,6,2,401110000,401110,40,,,,,KG,117621,44409,0.37756013,-44409,-1,-0.37756013,-1
2002,6,2,401110000,401110,40,,,,,KG,28409,13954,0.491182372,-13954,-1,-0.491182372,-1
2003,6,2,401110000,401110,40,,,,,KG,885670,577148,0.651651292,-577148,-1,-0.651651292,-1
2004,6,2,401110000,401110,40,,,,,KG,1919545,906383,0.472186378,-906383,-1,-0.472186378,-1
2005,6,2,401110000,401110,40,,,,,KG,1505253,601380,0.399520878,-601380,-1,-0.399520878,-1
2006,6,2,401110000,401110,40,,,,,KG,5190467,2391799,0.460806128,-2391799,-1,-0.460806128,-1
2007,6,2,401110000,401110,40,,,,,KG,7849807,3995674,0.509015572,-3995674,-1,-0.509015572,-1
2008,6,2,401110000,401110,40,,,,,KG,9834110,5144235,0.523101226,-5144235,-1,-0.523101226,-1
2009,6,2,401110000,401110,40,,,,,KG,7862961,3937088,0.500713154,-3937088,-1,-0.500713154,-1
2010,6,2,401110000,401110,40,,,,,KG,13156897,6325133,0.480746562,-6325133,-1,-0.480746562,-1
2011,6,2,401110000,401110,40,,,,,KG,20728540,9919073,0.478522511,-9919073,-1,-0.478522511,-1
2012,6,2,401110000,401110,40,,,,,KG,14007071,7254495,0.517916629,-7254495,-1,-0.517916629,-1
2013,6,2,401110000,401110,40,,,,,KG,14313553,9138288,0.638436033,-9138288,-1,-0.638436033,-1
2014,6,2,401110000,401110,40,,,,,KG,16920229,10329419,0.610477494,-10329419,-1,-0.610477494,-1
1994,6,2,401110010,401110,40,KG,11462,5190,0.452800558,,,,,5190,1,0.452800558,1
1995,6,2,401110010,401110,40,KG,21416,6806,0.317799776,,,,,6806,1,0.317799776,1
1996,6,2,401110010,401110,40,KG,3111,5406,1.737704918,,,,,5406,1,1.737704918,1
1997,6,2,401110010,401110,40,KG,33367,11041,0.330895795,,,,,11041,1,0.330895795,1
1998,6,2,401110010,401110,40,KG,12805,4985,0.389301054,,,,,4985,1,0.389301054,1
1999,6,2,401110010,401110,40,KG,13476,6641,0.492802018,,,,,6641,1,0.492802018,1
2000,6,2,401110010,401110,40,KG,424685,124202,0.292456762,,,,,124202,1,0.292456762,1
2001,6,2,401110010,401110,40,KG,763495,203084,0.265992574,,,,,203084,1,0.265992574,1
2002,6,2,401110010,401110,40,KG,3771268,1064895,0.282370545,,,,,1064895,1,0.282370545,1
2003,6,2,401110010,401110,40,KG,5536646,1371070,0.247635482,,,,,1371070,1,0.247635482,1
2004,6,2,401110010,401110,40,KG,8292176,2314095,0.279069692,,,,,2314095,1,0.279069692,1
2005,6,2,401110010,401110,40,KG,24675878,7875376,0.319152818,,,,,7875376,1,0.319152818,1
2006,6,2,401110010,401110,40,KG,36580011,12933457,0.353566241,,,,,12933457,1,0.353566241,1
2007,6,2,401110010,401110,40,KG,34599229,12856095,0.371571719,,,,,12856095,1,0.371571719,1
2008,6,2,401110010,401110,40,KG,23075738,8941124,0.387468604,,,,,8941124,1,0.387468604,1
2009,6,2,401110010,401110,40,KG,17963514,6940216,0.386350688,,,,,6940216,1,0.386350688,1
2010,6,2,401110010,401110,40,KG,22065699,7694142,0.348692421,,,,,7694142,1,0.348692421,1
2011,6,2,401110010,401110,40,KG,30973069,11941687,0.385550654,,,,,11941687,1,0.385550654,1
2012,6,2,401110010,401110,40,KG,35875253,14488458,0.403856608,,,,,14488458,1,0.403856608,1
2013,6,2,401110010,401110,40,KG,36743433,16604239,0.451896778,,,,,16604239,1,0.451896778,1
2014,6,2,401110010,401110,40,KG,35194860,16539949,0.469953539,,,,,16539949,1,0.469953539,1
1996,6,2,401110090,401110,40,KG,2000,2427,1.2135,,,,,2427,1,1.2135,1
1999,6,2,401110090,401110,40,KG,396,394,0.994949495,,,,,394,1,0.994949495,1
