,year,tech,type,HS,diff_ratio,average_ratio
1,1994-2000,6,1,381800010,1,1
2,2001-2007,6,1,381800010,1,1
3,2008-2014,6,1,381800010,1,1
4,1994-2000,6,1,381800020,1,1
5,2001-2007,6,1,381800020,1,1
6,2008-2014,6,1,381800020,1,1
7,1994-2000,6,1,381800100,-1,-1
8,2001-2007,6,1,381800100,-1,-1
9,2008-2014,6,1,381800100,-1,-1
10,1994-2000,6,1,381800900,-1,-1
11,2001-2007,6,1,381800900,-1,-1
12,2008-2014,6,1,381800900,-1,-1
13,1994-2000,6,2,401110000,-1,-1
14,2001-2007,6,2,401110000,-1,-1
15,2008-2014,6,2,401110000,-1,-1
16,1994-2000,6,2,401110010,1,1
17,2001-2007,6,2,401110010,1,1
18,2008-2014,6,2,401110010,1,1
19,1994-2000,6,2,401110090,1,1
20,2001-2007,6,2,401110090,1,1
21,2008-2014,6,2,401110090,1,1
22,1994-2000,6,2,401120000,-0.313882398,-0.212907419
23,2001-2007,6,2,401120000,0.065367297,-0.10841969
24,2008-2014,6,2,401120000,0.157736763,-0.020258526
25,1994-2000,6,1,820231000,0.204667338,-0.387042241
26,2001-2007,6,1,820231000,0.751994651,-0.647280458
27,2008-2014,6,1,820231000,0.735431197,-0.588484078
28,1994-2000,6,1,820239000,0.681312692,0.303800066
29,2001-2007,6,1,820239000,0.80178441,-0.155009735
30,2008-2014,6,1,820239000,0.5720381,-0.092477639
31,1994-2000,6,1,820720000,1,1
32,2001-2007,6,1,820720000,1,1
33,2008-2014,6,1,820720000,1,1
34,1994-2000,6,1,820720100,-1,-1
35,1994-2000,6,1,820720200,-1,-1
36,2001-2007,6,1,820720200,-1,-1
37,2008-2014,6,1,820720200,-1,-1
38,1994-2000,6,1,820720900,-1,-1
39,2001-2007,6,1,820720900,-1,-1
40,2008-2014,6,1,820720900,-1,-1
41,1994-2000,4,4,820750010,1,1
42,2001-2007,4,4,820750010,1,1
43,2008-2014,4,4,820750010,1,1
44,1994-2000,4,4,820750090,1,1
45,2001-2007,4,4,820750090,1,1
46,2008-2014,4,4,820750090,1,1
47,1994-2000,4,4,820750100,-1,-1
48,2001-2007,4,4,820750100,-1,-1
49,2008-2014,4,4,820750100,-1,-1
50,1994-2000,4,4,820750200,-1,-1
51,2001-2007,4,4,820750200,-1,-1
52,2008-2014,4,4,820750200,-1,-1
53,1994-2000,4,4,820750900,-1,-1
54,2001-2007,4,4,820750900,-1,-1
55,2008-2014,4,4,820750900,-1,-1
56,1994-2000,4,3,830140000,0.553559482,-0.638058675
57,2001-2007,4,3,830140000,0.831079739,-0.473656761
58,2008-2014,4,3,830140000,0.746323617,-0.554193167
59,1994-2000,4,4,830300000,-0.409646542,-0.179973888
60,2001-2007,4,4,830300000,0.54811379,-0.139858767
61,2008-2014,4,4,830300000,0.252525958,-0.420372499
62,1994-2000,6,100,830710000,0.576301706,-0.498224393
63,2001-2007,6,100,830710000,0.701689542,-0.35271271
64,2008-2014,6,100,830710000,0.486709523,-0.327225918
65,1994-2000,6,1,830790000,-0.655968504,-0.539382004
66,2001-2007,6,1,830790000,-0.139998476,-0.546700807
67,2008-2014,6,1,830790000,0.403429878,-0.687370213
68,1994-2000,7,3,840732000,1,1
69,2001-2007,7,3,840732000,1,1
70,2008-2014,7,3,840732000,1,1
71,1994-2000,7,3,840732100,-1,-1
72,2001-2007,7,3,840732100,-1,-1
73,2008-2014,7,3,840732100,-1,-1
74,1994-2000,7,3,840732900,-1,-1
75,2001-2007,7,3,840732900,-1,-1
76,2008-2014,7,3,840732900,-1,-1
77,1994-2000,7,2,840991010,1,1
78,2001-2007,7,2,840991010,1,1
79,2008-2014,7,2,840991010,1,1
80,1994-2000,7,2,840991090,1,1
81,2001-2007,7,2,840991090,1,1
